,estado,setor,faturamento_informado,divida_total_pj,score,taxa,atraso_corrente,prazo,valor_contrato,valor_contrato_mais_juros,valor_em_aberto
1444,SP,VAREJO,60000.0,0.0,403,4.935,0,9.45,55018.1625,63057.33,0.0
1445,SP,INDUSTRIA DIGITAL,150000.0,3000.0,370,4.473,0,12.6,39053.721,45618.84,0.0
1446,PR,SIDERURGICA-METALURGIA,300000.0,1143000.0,225,3.969,0,15.75,90481.104,106541.1,0.0
1447,ES,VAREJO,180000.0,107000.0,199,4.2315,0,12.6,55800.486,64676.76,0.0
1448,RS,ELETROELETRONICOS,166000.0,406000.0,136,4.473,0,12.6,44632.8225,52135.8,0.0
1449,PR,SERVICOS DIVERSOS,150000.0,89000.0,228,4.956,0,9.45,27390.972,31540.41,0.0
1450,SP,SERVICOS PROFISSIONAIS E TECNICOS,50000.0,0.0,361,4.7985,0,12.6,22200.738,27414.84,0.0
1451,RJ,SIDERURGICA-METALURGIA,17000.0,806.0,390,5.061,0,12.6,5549.5755,6870.84,0.0
1452,MG,TRANSPORTE,80000.0,18000.0,692,4.305,0,18.9,28450.2435,36033.48,0.0
1453,SP,SERVICOS ADMINISTRATIVOS,150000.0,0.0,441,4.3995,0,12.6,27742.323,32337.12,0.0
1454,PR,INDUSTRIA DA CONSTRUCAO,15000.0,8000.0,244,5.775,0,12.6,7767.9525,9771.72,0.0
1455,CE,SERVICOS DIVERSOS,110000.0,258000.0,371,4.368,0,12.6,11097.7335,13005.96,0.0
1456,BA,TELECOM,30000.0,0.0,511,4.4835,969,12.6,5548.9455,6557.04,1918.54
1457,RS,SERVICOS DIVERSOS,60000.0,212000.0,748,4.116,0,12.6,28850.451,32944.32,0.0
1458,PB,VAREJO,40000.0,0.0,497,5.2815,0,12.6,5578.314,6771.6,0.0
1459,SC,VAREJO,25000.0,9000.0,415,4.998,0,10.5,13207.677,15995.5,0.0
1460,GO,INDUSTRIA DA CONSTRUCAO,70000.0,0.0,198,6.1845,1214,12.6,5548.536,7127.76,5135.83
1461,AM,SERVICOS ADMINISTRATIVOS,100000.0,3000.0,218,4.788,0,12.6,22194.7215,26527.92,0.0
1462,MG,BENS DE CONSUMO,15000.0,658.0,675,5.187,1200,8.4,3273.3645,3801.2,940.8
1463,AM,SERVICOS DE ALOJAMENTO/ALIMENTACAO,120000.0,0.0,314,4.5465,0,12.6,27745.4415,32985.24,0.0
1464,MT,INDUSTRIA DA CONSTRUCAO,25000.0,53000.0,342,5.0295,0,6.3,10816.3545,11786.7,0.0
1465,SP,SERVICOS ADMINISTRATIVOS,150000.0,215000.0,290,3.759,0,12.6,55780.0635,62275.56,0.0
1466,SP,INDUSTRIA DIGITAL,12000.0,917.0,577,5.166,0,12.6,5579.448,6786.0,0.0
